iter	Passed	Remaining
0	53	53901
1	54	27222
2	55	18295
3	55	13821
4	55	11133
5	56	9331
6	56	8042
7	57	7076
8	57	6324
9	57	5724
10	58	5232
11	58	4822
12	58	4474
13	59	4177
14	59	3919
15	60	3693
16	60	3494
17	60	3318
18	61	3161
19	61	3020
20	62	2896
21	62	2779
22	62	2672
23	63	2575
24	63	2486
25	64	2402
26	64	2324
27	64	2252
28	65	2183
29	65	2120
30	65	2061
31	66	2005
32	66	1953
33	67	1905
34	67	1859
35	67	1819
36	68	1777
37	68	1738
38	69	1701
39	69	1665
40	69	1630
41	70	1598
42	70	1567
43	70	1538
44	71	1509
45	71	1482
46	71	1456
47	72	1430
48	72	1406
49	72	1383
50	73	1361
51	73	1339
52	73	1318
53	74	1298
54	74	1279
55	74	1261
56	75	1243
57	75	1226
58	75	1210
59	76	1194
60	76	1178
61	76	1163
62	77	1148
63	77	1133
64	77	1120
65	78	1106
66	78	1093
67	78	1080
68	79	1068
69	79	1056
70	79	1044
71	80	1033
72	80	1021
73	80	1011
74	81	1000
75	81	990
76	81	980
77	82	970
78	82	961
79	82	952
80	83	943
81	83	934
82	83	923
83	83	915
84	84	906
85	84	898
86	84	890
87	85	882
88	85	875
89	85	867
90	86	860
91	86	853
92	86	845
93	87	839
94	87	832
95	87	825
96	88	819
97	88	812
98	88	806
99	89	801
100	89	795
101	89	789
102	90	783
103	90	778
104	90	772
105	90	766
106	91	760
107	91	755
108	91	749
109	92	744
110	92	739
111	92	734
112	92	729
113	93	724
114	93	719
115	93	714
116	93	709
117	94	704
118	94	699
119	94	695
120	95	690
121	95	685
122	95	681
123	95	677
124	96	673
125	96	669
126	96	665
127	97	661
128	97	657
129	97	653
130	97	649
131	98	645
132	98	641
133	98	638
134	99	634
135	99	630
136	99	627
137	99	623
138	100	620
139	100	616
140	100	613
141	100	609
142	101	606
143	101	602
144	101	599
145	102	596
146	102	593
147	102	590
148	102	588
149	103	585
150	103	582
151	103	579
152	104	576
153	104	573
154	104	570
155	104	567
156	105	564
157	105	561
158	105	559
159	105	556
160	106	553
161	106	550
162	106	547
163	106	545
164	107	542
165	107	540
166	107	537
167	108	535
168	108	533
169	108	530
170	109	528
171	109	526
172	109	524
173	110	522
174	110	520
175	110	518
176	111	516
177	111	514
178	111	512
179	112	510
180	112	508
181	112	506
182	112	504
183	113	502
184	113	500
185	113	497
186	114	495
187	114	493
188	114	491
189	114	489
190	115	487
191	115	485
192	115	483
193	116	481
194	116	480
195	116	478
196	116	476
197	117	474
198	117	472
199	117	470
200	117	469
201	118	467
202	118	465
203	118	463
204	119	461
205	119	460
206	119	458
207	119	456
208	120	454
209	120	453
210	120	451
211	121	449
212	121	448
213	121	446
214	121	444
215	122	443
216	122	441
217	122	439
218	122	438
219	123	436
220	123	435
221	123	434
222	124	432
223	124	431
224	124	430
225	125	428
226	125	427
227	125	425
228	126	424
229	126	422
230	126	421
231	126	420
232	127	418
233	127	417
234	127	415
235	127	414
236	128	412
237	128	411
238	128	410
239	129	408
240	129	407
241	129	406
242	129	404
243	130	403
244	130	402
245	130	401
246	131	399
247	131	398
248	131	397
249	132	396
250	132	394
251	132	393
252	132	392
253	133	390
254	133	389
255	133	388
256	133	387
257	134	386
258	134	384
259	134	383
260	135	382
261	135	381
262	135	380
263	135	378
264	136	377
265	136	376
266	136	375
267	137	374
268	137	373
269	137	372
270	137	371
271	138	370
272	138	368
273	138	367
274	139	366
275	139	365
276	139	364
277	139	363
278	140	362
279	140	361
280	140	360
281	141	359
282	141	357
283	141	356
284	141	355
285	142	354
286	142	353
287	142	352
288	142	351
289	143	350
290	143	349
291	143	348
292	144	347
293	144	346
294	144	345
295	145	344
296	145	343
